Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
V.g14621.t1	1	2	2	46	29	46
V.g15438.t1	1	2	1	11	14	8
X.g18797.t3	0	0	0	3	1	4
III.g8686.t2	8	3	3	16	9	7
III.g9018.t1	0	1	0	0	3	4
X.g21080.t1	1	0	1	0	1	3
I.g1961.t1	1	1	3	5	14	10
V.g15030.t1	0	1	0	34	18	34
I.g3494.t3	17	17	14	46	91	56
III.g9020.t1	1	1	1	1	2	1
III.g9019.t2	0	0	0	0	0	0
III.g8687.t1	2	6	2	16	35	12
IV.g11088.t3	6	8	2	9	11	14
IV.g11365.t2	0	0	0	2	1	4
I.g2945.t1	2	8	1	21	10	12
IV.g11279.t2	0	0	0	89	307	88
IV.g12128.t1	0	1	0	15	7	11
X.g22319.t1	12	16	12	7	4	11
I.g2944.t1	20	13	8	64	94	88
IV.g11100.t3	8	10	4	66	19	39
I.g3204.t1	47	44	78	8	11	44
I.g3207.t1	17	17	13	33	42	35
I.g3206.t1	8	22	3	26	30	34
I.g3895.t2	26	18	29	105	97	116
IV.g11975.t3	0	1	0	12	4	7
II.g6587.t1	2	0	1	509	423	500
IV.g13135.t1	12	7	10	44	11	29
V.g14538.t3	1	2	2	1	2	0
IV.g12246.t2	733	444	556	1037	878	982
I.g3208.t1	11	24	5	93	13	73
V.g14771.t1	8	16	4	10	7	11
V.g15308.t3	0	2	0	5	2	1
V.g14944.t1	0	0	1	2	2	1
IV.g12248.t2	68	70	94	822	722	776
V.g14943.t3	0	2	0	17	11	8
IV.g11449.t1	6	0	2	7	16	21
V.g14945.t2	1	0	0	1	1	0
IV.g11451.t1	0	0	0	1	0	0
V.g16615.t1	1	0	1	0	2	0
V.g15310.t1	0	0	0	0	0	0
V.g17021.t1	1	2	2	44	15	34
V.g13877.t3	0	2	0	37	7	43
IV.g12567.t1	0	0	0	0	0	2
II.g5606.t1	0	0	0	2	2	3
IV.g11471.t1	0	0	2	9	28	11
IV.g11463.t1	1	0	2	1	2	1
V.g14962.t1	15	18	16	32	64	41
V.g15609.t1	1	1	1	37	25	32
V.g14959.t1	12	11	2	17	14	14
V.g14963.t1	208	360	107	234	733	289
V.g14866.t1	98	32	141	20	10	41
V.g13937.t1	3	5	3	9	15	12
V.g18056.t1	134	132	150	294	224	389
II.g6441.t2	1	2	1	5	12	5
III.g8836.t1	2	1	0	6	1	3
III.g8833.t1	0	0	0	6	3	5
IV.g10981.t2	5	4	8	2	5	5
IV.g10982.t2	1	1	1	4	3	1
III.g7993.t2	0	0	0	0	3	0
III.g7989.t1	3	3	7	3	11	8
III.g7992.t1	11	6	5	9	24	18
IV.g10984.t1	3	1	0	20	13	16
V.g17789.t3	50	46	65	37	42	67
IV.g11020.t1	3	0	0	1	0	2
IV.g11019.t1	7	6	2	5	2	6
IV.g13299.t2	28	34	43	9	11	22
V.g14737.t3	4	2	0	81	51	49
II.g4721.t2	130	182	137	12	5	22
V.g14736.t4	0	0	2	121	70	86
IV.g10992.t1	1	0	0	2	1	3
IV.g10986.t1	4	3	1	3	2	3
IV.g10644.t3	2	6	3	12	28	19
II.g7175.t1	731	824	830	83	178	192
V.g14246.t2	137	195	149	46	54	83
II.g4724.t2	44	49	40	30	29	22
V.g14225.t1	60	70	57	47	162	90
V.g14632.t1	458	451	314	216	194	403
II.g4605.t1	16	12	11	1	4	8
V.g14247.t1	27	13	26	505	345	459
V.g14255.t1	10	21	6	42	28	40
V.g14231.t1	5	3	14	6	25	19
V.g14232.t1	257	382	520	962	204	1318
V.g14238.t1	29	22	48	48	9	22
V.g14224.t1	75	60	62	254	225	220
V.g14242.t1	1228	1927	1111	1463	1477	1986
V.g14248.t1	7	13	3	40	25	18
II.g6720.t1	0	0	0	0	0	0
V.g14239.t1	12	15	19	89	60	102
V.g14222.t1	217	251	181	387	442	394
V.g15855.t2	0	0	0	8	5	9
V.g14241.t1	168	159	151	153	110	196
V.g14240.t2	11	9	10	96	113	81
V.g15693.t1	1	0	0	12	9	14
IV.g11945.t1	6	3	2	21	11	15
V.g15258.t1	25	8	4	66	6	24
V.g17755.t1	0	0	0	92	103	83
V.g14951.t1	2	1	0	6	0	3
II.g6444.t1	398	720	466	1407	878	1805
V.g17083.t1	0	0	0	0	0	0
II.g5321.t1	113	147	150	160	78	152
V.g14954.t1	3	0	3	24	9	12
II.g5323.t1	578	266	669	1315	383	580
II.g4758.t2	20782	25484	19135	42403	18846	32285
IV.g13348.t1	32	10	35	52	30	43
II.g4848.t1	114	151	118	138	63	194
V.g14650.t1	9	5	8	20	23	11
II.g4843.t2	523	810	566	1042	687	1097
V.g14953.t1	2	2	2	10	11	7
I.g2022.t1	54	25	25	170	25	48
V.g14649.t1	12	22	11	45	34	83
V.g14711.t1	263	245	220	1262	1612	1616
I.g2023.t1	30	17	19	140	36	55
V.g17526.t1	55	67	45	160	211	153
V.g15916.t2	803	907	604	2596	3136	2631
V.g14639.t1	0	0	0	0	1	0
V.g17525.t1	19	38	42	3	9	21
V.g14655.t1	11	13	12	33	33	36
V.g14733.t2	1	1	0	41	45	39
V.g17524.t1	9	3	11	5	15	5
V.g17533.t1	7	2	8	211	143	172
V.g14652.t1	1	1	1	0	3	2
II.g6555.t1	360	443	285	228	406	433
II.g3988.t1	3144	3401	3416	1205	1154	1477
V.g14654.t1	1	0	1	6	7	7
II.g6703.t1	0	0	0	1367	1220	1323
V.g17674.t3	1	3	4	4075	3305	3567
III.g9003.t2	0	1	0	258	201	246
III.g10273.t1	0	3	4	6	3	1
III.g9004.t2	0	6	2	2040	2243	2199
V.g14320.t1	0	0	1	2	2	2
III.g9992.t2	1	4	2	56	18	37
